,faithfulness,informativeness_step,informativeness_chain,faithfulness_ww,repetition_word,repetition_step,discourse_representation,coherence_step_vs_step,perplexity_step,perplexity_chain,perplexity_step_max,grammar_step,grammar_step_max
0,0.8759292125701904,0.8767990829689162,0.9660613685846329,0.9169713898051169,0.12083978273651819,0.07291597127914429,0.00262606143951416,0.3906673789024353,0.01708948255590181,0.11247942956033281,0.0036501499082657097,0.8640059530735016,0.42970195412635803
1,0.8792365031937758,0.8864577650233652,0.9656973630189896,0.9317657137733131,0.08689729066995477,0.029745027422904968,0.3353469967842102,0.06463372707366943,0.006171278409022336,0.07992291839453013,0.0024434327394431427,0.9475124378999075,0.7275370955467224
2,0.8621728241443634,0.8446587055455893,0.9260028004646301,0.9249834518980335,0.06622186303138733,0.02075481414794922,0.010288894176483154,0.010288894176483154,0.004489889807237091,0.0725920050863835,0.002490136888016252,0.9861999392509461,0.968894362449646
3,0.8989915028214455,0.8639117768034339,0.9574985504150391,0.9166240935740264,0.08434799775995061,0.03730563819408417,0.018927574157714844,0.7068695425987244,0.01574479402412329,0.07496921336471883,0.009170846079898763,0.9474377036094666,0.8319488167762756
4,0.886406883597374,0.8631901629269123,0.9556491672992706,0.9128706090980105,0.08951433251301444,0.05815954506397247,0.09023016691207886,0.2927843928337097,0.019843671977163205,0.13782125387733954,0.0056930915161109005,0.9644671082496643,0.9247118830680847
5,0.9163105388482412,0.8668540922614436,0.95512855052948,0.9292924208383934,0.09891565370818844,0.05108237266540527,0.28958040475845337,0.9948779689148068,0.02307849522960562,0.09101096859968108,0.007142469858927874,0.8565499385197958,0.6096733808517456
6,0.8863308727741241,0.8568169306963682,0.9573034346103668,0.9214784615125853,0.07950616196582194,0.06735207140445709,0.25415778160095215,0.5341072082519531,0.010809522501925966,0.095277627487594,0.0071950366703629025,0.9666576981544495,0.9183116555213928
7,0.9042235016822815,0.8696219198819664,0.9429158419370651,0.9099590508768011,1.0,1.0,0.9966742075048387,0.9894726863130927,0.035860690487252135,0.035860690487252135,0.035860690487252135,0.9719968438148499,0.9719968438148499
8,0.9163378576437632,0.8582743056532409,0.9563291221857071,0.9285105162269467,0.12046618994913605,0.05661751329898834,0.0012843608856201172,0.04627406597137451,0.014188862992039857,0.056514212677397715,0.005852695654906375,0.6790938973426819,0.34074002504348755
9,0.9473003447055817,0.89681405041899,0.9271958768367767,0.9268231432180147,0.09746803702979256,0.034801483154296875,0.0007204413414001465,0.42156296968460083,0.003944655213339046,0.04189778545965837,0.0008824404315565627,0.8277282317479452,0.6301641464233398
10,0.8823336958885193,0.8262554993852973,0.9308172762393951,0.9110744039126493,0.12112282067537306,0.06061592698097229,0.944126907736063,0.9835536349564791,0.05391290565493512,0.11831943597289446,0.031078297677391235,0.8150197863578796,0.6418794393539429
11,0.9014436304569244,0.8731887094676495,0.9497352987527847,0.9121057201100855,0.11661424163060308,0.0640580952167511,0.0027573108673095703,0.9727653134614229,0.012987125924826424,0.058666887835033495,0.005729808694993185,0.9179165959358215,0.8216925263404846
12,0.919183224439621,0.8745811595581472,0.9457329362630844,0.916099851622301,0.1811266906302551,0.05837318301200867,0.025564074516296387,0.9916868414729834,0.008428341328356254,0.055416557198612694,0.004079958536596706,0.9667580922444662,0.9356291890144348
13,0.8850150803724924,0.8597740357120831,0.9546811431646347,0.9340570599272631,0.13030463800980496,0.08082932233810425,0.08136934041976929,0.9868023786693811,0.008168347708686557,0.07902388633055221,0.002480380271610344,0.9651630719502767,0.9149442911148071
