,faithfulness,informativeness_step,informativeness_chain,faithfulness_ww,repetition_word,repetition_step,discourse_representation,coherence_step_vs_step,perplexity_step,perplexity_chain,perplexity_step_max,grammar_step,grammar_step_max
0,0.8530828207731247,0.8705552465149334,0.9476426541805267,0.918624799097738,0.21890207529067995,0.14079856872558594,0.0033298134803771973,0.42854970693588257,0.005467437897524866,0.012812791786282687,0.0019083376238095728,0.9685611724853516,0.9671998023986816
1,0.6430083960294724,0.620919989887625,0.8353483155369759,0.8345668039093127,1.0,1.0,0.985874786041677,0.9994358813855797,0.011654014471710883,0.011654014471710883,0.011654014471710883,0.9954784512519836,0.9954784512519836
2,0.9067858755588531,0.8227512612938881,0.9370978027582169,0.9136952647222772,1.0,1.0,0.929866224527359,0.9979387270286679,0.08033154824255699,0.08033154824255699,0.08033154824255699,0.9861894249916077,0.9861894249916077
3,0.8431546539068222,0.8427199402025768,0.9573271125555038,0.9307914105328646,0.21386630833148956,0.16004188358783722,0.010590195655822754,0.9859770638868213,0.006758125831143604,0.020818620578806915,0.0016794948767099788,0.9691946804523468,0.9607304334640503
4,0.8927943371236324,0.8807259295135736,0.9428982138633728,0.8878757060383973,0.042618751525878906,0.010480791330337524,0.0018191337585449219,0.0034815073013305664,0.0025523157539250256,0.10951805376396329,0.00025074889439001866,0.9237695261836052,0.5706174969673157
5,0.8662185966968536,0.8630970325320959,0.9670611172914505,0.9328451544046402,0.0486582641800245,0.029852822422981262,0.0016283392906188965,0.006504714488983154,0.006395212760080549,0.060959435663364966,0.0030388312600619534,0.9643416255712509,0.9180722832679749
6,0.9124723772207896,0.8875627803305784,0.9761225283145905,0.8914482808184057,0.09758477575249147,0.06834134459495544,0.8482325524091721,0.9877931699156761,0.0036400467123496516,0.043312781666440245,0.0005644751154477838,0.9821110963821411,0.9771710634231567
7,0.8886978141963482,0.8905938360840082,0.9839041382074356,0.9257018012951498,0.07968263966696598,0.05479447543621063,0.007084488868713379,0.022615253925323486,0.004243497002098267,0.05815253580783379,0.0016104248578654935,0.9782434552907944,0.9679199457168579
8,0.704788106183211,0.74834704225262,0.901899978518486,0.8701249624136835,0.16292968094348903,0.19262928143143654,0.8707157522439957,0.9980850426945835,0.006377667353334194,0.03458583824979317,0.0028900848936806397,0.99198051293691,0.9900694489479065
9,0.9628482162952423,0.8735847398638725,0.9432042390108109,0.9704607169469586,1.0,1.0,0.9160861223936081,0.9987945968750864,0.14587325971017062,0.14587325971017062,0.14587325971017062,0.9947786331176758,0.9947786331176758
10,0.8891198188066483,0.8704122398048639,0.9607758820056915,0.9119171230298169,0.08756717443466189,0.06321564316749573,0.012801706790924072,0.012739181518554688,0.011788881558684875,0.07671736523980137,0.0015305674970893792,0.9817133247852325,0.9678727984428406
11,0.9104052782058716,0.870355962879128,0.9403474777936935,0.9406475474437078,0.09717377126216886,0.03608831763267517,0.07440543174743652,0.9939937833696604,0.009580681475217252,0.07014770588911673,0.004585112558714631,0.9915674924850464,0.9876779913902283
